,Name,Distance,Mass,Radius,Gravity(in m/s2)
85,2MASS J08251968+2115521 [de],35,1.0342799999999999e+32,681786000.0,1604.4114379767152
86,SDSSp J083008.12+482847.4 [de],43,9.5472e+31,688743000.0,9814.949832668899
87,LHS 2021,55,1.75032e+32,800054999.9999999,1698.9965750915958
88,SDSS J083048.80+012831.1 [de],77,9.149399999999999e+31,667872000.0,4507.500839517082
89,2MASSI J0835425-081923 [de],23.53,1.2331799999999999e+32,695700000.0,17542.705970012426
90,2MASSI J0847287-153237 [de],43,1.27296e+32,695700000.0,1593.577946473975
91,2MASS J08533619-0329321,27.6,1.53153e+32,744399000.0,13028.97328295683
92,2MASSI J0859254-194926 [de],50,9.945e+31,681786000.0,12718.759633362619
93,2MASSW J0920122+351742 [de],95,,,1713.154879884026
94,2MASSI J0937347+293142,20.0,8.3538e+31,653958000.0,13414.124007421779
95,2MASS 0939−2448,17.4,6.3648e+31,660915000.0,17980.63430782068
96,2MASS J09490860-1545485 [de],59,9.7461e+31,667872000.0,16553.599838946022
97,2MASS J10073369-4555147,46,8.7516e+31,653958000.0,18003.156859481187
98,2MASSI J1010148-040649 [de],55,1.0143899999999999e+32,681786000.0,14857.417174889628
99,2MASSI J1017075+130839 [de],108,,,13649.400582145252
100,SDSS J102109.69-030420.1,95,,,17268.60118923098
101,2MASS J10224821+5825453 [de],60,5.3703e+31,980937000.0,9517.52711046681
102,2MASSW J1036530-344138 [de],53,9.7461e+31,674829000.0,16500.54286920233
103,2MASS J1047538+212423 [de],34.4,8.3538e+31,653958000.0,3303.6044515669923
104,Luhman 16B,6.516,8.5527e+31,709614000.0,18540.37321056404
105,Luhman 16A,6.516,7.956e+31,702657000.0,18602.643242778755
106,DENIS-P J1058.7−1548,49,1.27296e+32,695700000.0,17807.81006418534
107,TWA 28,180,7.160399999999999e+31,1662723000.0,16500.54286920233
108,Cha 110913-773444,163,1.5912e+31,1252260000.0,1352.2502518551244
109,OTS 44,554,,,1459.729601794673
110,SDSS J111010.01+011613.1,63,1.7900999999999998e+31,862668000.0,18646.583726628854
111,2MASS J11145133−2618235,18.2,6.5637e+31,667872000.0,13649.400582145252
112,TWA 26,137,5.967e+31,1530540000.0000002,13649.400582145252
113,2MASSW J1146345+223053,89,,,18178.806107189204
114,2MASS J11544223-3400390 [de],129,7.3592999999999995e+31,1043550000.0,16780.213087324406
115,2MASSW J1155395-372735 [de],31,1.27296e+32,695700000.0,18565.052882145137
116,TWA 27A,,,,15941.202432958184
117,TWA 27B,,,,15411.972263846299
118,2MASS J12074836-3900043,217,3.3812999999999997e+31,1189647000.0,17268.60118923098
119,2MASSI J1217110-031113 [de],36,8.3538e+31,653958000.0,13649.400582145252
120,2MASS J12255432-2739466,43,,,4021.2936688558484
121,DENIS-P J1228.2-1547,66,,,18344.27319774016
122,2M 1237+6526,45.6,8.154899999999999e+31,653958000.0,13028.97328295683
123,2MASSW J1239272+551537 [de],119,,,13339.186932551042
124,TWA 29,262,4.9725e+31,1391400000.0,18344.27319774016
125,SDSSp J125453.90-012247.4 [de],38,9.3483e+31,681786000.0,14274.773364109644
126,Kelu-1A,61,1.2530699999999999e+32,681786000.0,12718.759633362619
127,Kelu-1B,61,1.15362e+32,681786000.0,18500.045300522765
128,2MASS J13204427+0409045,101,1.3326299999999999e+32,702657000.0,3356.3850707931942
129,SDSSp J132629.82-003831.5 [de],65,1.0143899999999999e+32,674829000.0,13692.129553329658
130,SDSSp J134646.45-003150.4 [de],48,8.7516e+31,653958000.0,13667.274387994448
131,2MASS J13595510-4034582,51,1.2530699999999999e+32,695700000.0,18434.85729773011
132,ULAS J141623.94+134836.3,29.7,6.3648e+31,667872000.0,18003.156859481187
133,SDSS J141659.78+500626.4 [de],149,1.17351e+32,688743000.0,17679.426871149313
134,DENIS-P J142527.97-365023.4 [de],38,4.1769e+31,918324000.0,1938.835309963814
135,LHS 2924,38.5,1.51164e+32,737442000.0,13681.445221296039
136,2MASS J14392837+1929150,47,1.4320799999999998e+32,716571000.0,18442.26706526441
137,LSPM J1440+1339,72,1.8298799999999998e+32,827883000.0,18178.806107189204
138,2MASS J14482563+1031590 [de],47,1.17351e+32,688743000.0,761.1094344394835
139,CFBDSIR 1458+10A,104,2.2077899999999997e+31,1043550000.0,17598.421824640223
140,CFBDSIR 1458+10B,104,1.7900999999999998e+31,904410000.0,13681.445221296039
141,TVLM 513-46546,35.1,1.49175e+32,730485000.0,15381.861996714038
142,2MASS 1503+2525,20.7,8.7516e+31,653958000.0,3409.0707090235587
143,CFBDS J150411+102717,71,8.7516e+31,653958000.0,3722.5637951305225
144,2MASSW J1506544+132106 [de],46,1.37241e+32,709614000.0,17059.883305446478
145,2MASS 1507−1627,23.9,1.1934e+32,688743000.0,13028.97328295683
146,TVLM 868-110639,53,1.5713099999999999e+32,751356000.0,18500.045300522765
147,SDSS J151114.66+060742.9 [de],89,,,1976.5983831364279
148,2MASSW J1515008+484742 [de],34,1.1337299999999999e+32,688743000.0,3404.8520981081006
149,2MASSI J1526140+204341 [de],67,1.07406e+32,681786000.0,1843.1949975414543
150,DENIS-P J153941.96-052042.4 [de],51,1.2530699999999999e+32,695700000.0,17925.996365017156
151,2MASS J15462718-3325111 [de],37,8.7516e+31,653958000.0,18456.680803396626
152,2MASSW J1552591+294849 [de],68,5.967e+31,994851000.0,1201.4235405717475
153,2MASSW J1555157-095605 [de],44,1.41219e+32,716571000.0,233.0822965828607
154,2MASS J16150413+1340079 [de],48,8.3538e+31,653958000.0,189.82325538881173
155,SDSSp J162414.37+002915.6 [de],36,8.5527e+31,653958000.0,11118.36590514241
